city,State_ab,State_name,Low_Confidence_Limit,Data_Value,High_Confidence_Limit,PopulationCount
Abilene,TX,Texas,13.74102564102564,15.053846153846154,16.34615384615385,9004.692307692309
Akron,OH,Ohio,15.933823529411761,17.227941176470587,18.564705882352936,8784.176470588236
Alameda,CA,California,9.211111111111114,10.083333333333334,11.033333333333333,12302.0
Albany,GA,Georgia,14.456363636363639,15.961818181818183,17.509090909090908,9561.272727272728
Albuquerque,NM,New Mexico,12.920863309352512,14.153237410071945,15.4251798561151,11780.611510791367
Alexandria,VA,Virginia,9.554999999999998,10.552500000000002,11.760000000000002,10497.45
Alhambra,CA,California,9.213636363636365,10.077272727272726,10.95909090909091,11330.318181818182
Allen,TX,Texas,9.684615384615386,10.7,11.792307692307693,19441.384615384617
Allentown,PA,Pennsylvania,16.38571428571429,17.653571428571425,18.967857142857145,12646.285714285714
Amarillo,TX,Texas,13.403508771929825,14.601754385964911,15.815789473684205,10036.578947368422
Anaheim,CA,California,11.780519480519482,12.929870129870135,14.096103896103898,13100.766233766233
Anchorage,AK,Alaska,10.540350877192983,11.529824561403512,12.575438596491228,15359.263157894737
Ann Arbor,MI,Michigan,10.828571428571426,12.311428571428573,13.848571428571429,9765.4
Antioch,CA,California,13.113636363636363,14.013636363636364,14.913636363636368,13959.818181818182
Apple Valley,CA,California,13.421428571428569,14.37857142857143,15.357142857142858,14812.357142857143
Appleton,WI,Wisconsin,10.88076923076923,12.12307692307692,13.442307692307692,8378.692307692309
Arlington,TX,Texas,12.660000000000004,13.810666666666663,14.99733333333333,14617.52
Arlington Heights,IL,Illinois,8.704166666666666,9.774999999999999,10.983333333333334,9386.583333333334
Arvada,CO,Colorado,9.925714285714289,11.122857142857141,12.365714285714287,9121.885714285714
Asheville,NC,North Carolin,11.319354838709678,12.641935483870968,14.029032258064516,8067.903225806452
Athens,GA,Georgia,13.781249999999996,15.531250000000004,17.365625,10823.625
Atlanta,GA,Georgia,11.674242424242424,13.093181818181813,14.655303030303031,9545.424242424242
Auburn,WA,Washington,13.404761904761905,14.59047619047619,15.790476190476191,10025.238095238095
Augusta,GA,Georgia,14.183673469387756,15.461224489795917,16.767346938775507,11990.448979591836
Aurora,CO,Colorado,11.734351145038161,12.871755725190843,14.083206106870232,11976.12213740458
Austin,TX,Texas,10.943999999999999,12.168,13.513000000000007,11855.49
Avondale,AZ,Arizona,13.09130434782609,14.156521739130431,15.252173913043482,9943.08695652174
Bakersfield,CA,California,13.714814814814808,14.90617283950617,16.128395061728387,12868.67901234568
Baldwin Park,CA,California,11.785,13.109999999999996,14.464999999999998,11308.5
Baltimore,MD,Maryland,14.707462686567164,16.281592039801,17.940796019900514,9267.965174129353
Baton Rouge,LA,Louisiana,15.571212121212122,17.33787878787878,19.13939393939394,10430.424242424242
Baytown,TX,Texas,13.435000000000002,14.475,15.540000000000001,10769.1
Beaumont,TX,Texas,13.747222222222222,14.894444444444446,16.083333333333332,9858.0
Beaverton,OR,Oregon,11.248148148148148,12.492592592592588,13.866666666666665,9975.592592592593
Bellevue,WA,Washington,8.623333333333333,9.506666666666668,10.52,12235.7
Bellflower,CA,California,12.374999999999996,13.26,14.180000000000001,11492.4
Bellingham,WA,Washington,12.357894736842105,13.968421052631578,15.578947368421053,12771.315789473685
Bend,OR,Oregon,11.757142857142862,13.007142857142856,14.335714285714285,16422.64285714286
